127.0.0.1, 2014-06-10 12:49:17, POST, /admin/default/index, HTTP/1.1, 303, 0.096000
127.0.0.1, 2014-06-10 12:49:17, GET, /admin/default/site, HTTP/1.1, 200, 0.105000
127.0.0.1, 2014-06-10 12:49:17, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:17, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:17, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/default/index, HTTP/1.1, 200, 1.902000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/js/jquery.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/js/web2py.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:26, GET, /Prepratilipi/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:27, GET, /Prepratilipi/static/images/facebook.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:49:27, GET, /Prepratilipi/static/images/gplus-32.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-06-10 12:49:38, POST, /admin/default/check_version, HTTP/1.1, 200, 21.061000
127.0.0.1, 2014-06-10 12:49:38, GET, /admin/default/design/Prepratilipi, HTTP/1.1, 200, 0.103000
